unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences,lith,environ,econ,measure,notes,color,text_color,t_int_id,t_int_name,t_int_age,t_prop,units_above,b_int_id,b_int_name,b_int_age,b_prop,units_below,strat_name_long,refs,clat,clng,t_plat,t_plng,b_plat,b_plng
11950,3216,435,1,26388.053,Sexton Creek Limestone,3807,NA,Sexton Creek Limestone,NA,NA,438.5,440.8,13,10,subsurface,0,0,limestone carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,11951,Sexton Creek Limestone,1,39.341,-87.741,-30.011,-105.613,-28.535,-108.515
12030,3231,436,1,11758.791,Sexton Creek Limestone,3807,NA,Sexton Creek Limestone,NA,NA,438.5,443.05,19,6,subsurface,0,0,shale siliciclastic sedimentary  ~ 0.125| limestone carbonate sedimentary  ~ 0.625| dolomite carbonate sedimentary  ~ 0.125| chert chemical sedimentary  ~ 0.125,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,236,Rhuddanian,443.8,0.25,0,Sexton Creek Limestone,1,38.633,-87.073,-30.859,-105.351,-27.873,-110.325
12115,3244,437,1,15424.222,Sexton Creek Limestone,3807,NA,Sexton Creek Limestone,NA,NA,438.5,442.8,19,3,subsurface,0,0,shale siliciclastic sedimentary  ~ 0.25| limestone carbonate sedimentary  ~ 0.25| dolomite carbonate sedimentary  ~ 0.25| chert chemical sedimentary  ~ 0.25,marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,236,Rhuddanian,443.8,0.33333,12116,Sexton Creek Limestone,1,39.425,-86.241,-30.344,-104.325,-27.563,-109.083
12200,3258,438,1,14290.301,Sexton Creek Limestone,3807,NA,Sexton Creek Limestone,NA,NA,438.5,443.05,11,6,subsurface,0,0,shale siliciclastic sedimentary  ~ 0.125| limestone carbonate sedimentary  ~ 0.625| dolomite carbonate sedimentary  ~ 0.125| chert chemical sedimentary  ~ 0.125,marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,236,Rhuddanian,443.8,0.25,0,Sexton Creek Limestone,1,39.091,-85.333,-30.894,-103.685,-27.957,-108.71
12341,3295,440,1,18821.287,Cabot Head Mbr,2772,Cabot Head,Cataract,NA,NA,438.5,439.65,20,0,subsurface,0,0,shale siliciclastic sedimentary  ~ 0.1667| dolomite carbonate sedimentary  ~ 0.8333,marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0.5,12342,Cabot Head Member,1,41.525,-85.838,-28.468,-103.186,-27.869,-104.826
13032,3438,450,1,14624.119,Brassfield Fm,236,NA,Brassfield,NA,NA,438.5,440.8,9,6,both,11,72,dolomite carbonate sedimentary  ~ 0.4545| chert chemical sedimentary  ~ 0.0909|argillaceous limestone carbonate sedimentary  ~ 0.0909|cherty limestone carbonate sedimentary  ~ 0.0909|dolomitic limestone carbonate sedimentary  ~ 0.0909|glauconitic limestone carbonate sedimentary  ~ 0.0909|argillaceous limestone carbonate sedimentary  ~ 0.0909,inferred marine  marine,gas reservoir hydrocarbon energy,[object Object],NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,13034,235,Aeronian,440.8,0,0,Brassfield Formation,1,37.641,-84.406,-32.5,-103.423,-31.064,-106.419
13289,3481,451,1,17708.426,Brassfield Fm,236,NA,Brassfield,NA,NA,438.5,440.8,9,0,both,0,0,carbonate carbonate sedimentary  ~ 0.4545| chert chemical sedimentary  ~ 0.0909|argillaceous limestone carbonate sedimentary  ~ 0.0909|cherty limestone carbonate sedimentary  ~ 0.0909|dolomitic limestone carbonate sedimentary  ~ 0.0909|glauconitic limestone carbonate sedimentary  ~ 0.0909|argillaceous limestone carbonate sedimentary  ~ 0.0909,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,0,Brassfield Formation,1,35.916,-88.016,-33.102,-107.364,-31.594,-110.312
13327,3497,452,1,12938.882,Brassfield Fm,236,NA,Brassfield,NA,NA,438.5,440.8,20,0,both,0,0,conglomerate siliciclastic sedimentary  ~ 0.0714| carbonate carbonate sedimentary  ~ 0.3571| chert chemical sedimentary  ~ 0.0714| silt siliciclastic sedimentary  ~ 0.0714| ironstone chemical sedimentary  ~ 0.0714|argillaceous limestone carbonate sedimentary  ~ 0.0714|cherty limestone carbonate sedimentary  ~ 0.0714|dolomitic limestone carbonate sedimentary  ~ 0.0714|glauconitic limestone carbonate sedimentary  ~ 0.0714|argillaceous limestone carbonate sedimentary  ~ 0.0714,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,0,Brassfield Formation,1,36.03,-86.753,-33.379,-106.18,-31.891,-109.154
13374,3513,453,1,9609.356,Brassfield Fm,236,NA,Brassfield,NA,NA,438.5,440.8,15,0,both,0,0,shale siliciclastic sedimentary  ~ 0.0769| carbonate carbonate sedimentary  ~ 0.3846| chert chemical sedimentary  ~ 0.0769| silt siliciclastic sedimentary  ~ 0.0769|argillaceous limestone carbonate sedimentary  ~ 0.0769|cherty limestone carbonate sedimentary  ~ 0.0769|dolomitic limestone carbonate sedimentary  ~ 0.0769|glauconitic limestone carbonate sedimentary  ~ 0.0769|argillaceous limestone carbonate sedimentary  ~ 0.0769,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,0,Brassfield Formation,1,35.53,-86.003,-34.063,-105.711,-32.584,-108.71
13406,3528,454,1,10352.802,Brassfield Fm,236,NA,Brassfield,NA,NA,438.5,440.8,10,0,NA,0,0,carbonate carbonate sedimentary  ~ 0.4545| chert chemical sedimentary  ~ 0.0909|argillaceous limestone carbonate sedimentary  ~ 0.0909|cherty limestone carbonate sedimentary  ~ 0.0909|dolomitic limestone carbonate sedimentary  ~ 0.0909|glauconitic limestone carbonate sedimentary  ~ 0.0909|argillaceous limestone carbonate sedimentary  ~ 0.0909,inferred marine  marine,aggregate construction material,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,0,Brassfield Formation,1,34.963,-87.379,-34.181,-107.225,-32.675,-110.201
18910,4963,623,1,11609.679,Beech Hill Cove,4883,NA,Beechhill Cove,Arisaig,NA,438.5,443.8,91,0,NA,20,120,sandstone siliciclastic sedimentary  ~ 0.3333| shale siliciclastic sedimentary  ~ 0.3333| siltstone siliciclastic sedimentary  ~ 0.3333,inferred marine  marine,NA,NA,NA,#FCF768,#000000,235,Aeronian,438.5,1,18909,236,Rhuddanian,443.8,0,0,Beechhill Cove Formation,2,45.627,-62.338,-37.521,-77.819,-39.88,-83.715
18922,4968,624,1,8709.456,Glencoe Brook,5250,NA,Glencoe Brook,Arisaig,NA,438.5,443.8,274,0,NA,0,0,conglomerate siliciclastic sedimentary  ~ 0.5| quartzite metasedimentary metamorphic  ~ 0.5,inferred marine  marine,NA,NA,NA,#FCF768,#000000,235,Aeronian,438.5,1,18921,236,Rhuddanian,443.8,0,0,Glencoe Brook Formation,2,45.553,-62.042,-37.61,-77.565,-39.998,-83.472
22740,6355,811,1,1315.369,Tuscarora Sandstone,3446,NA,Tuscarora Sandstone,NA,NA,438.5,443.8,10,0,subsurface,0,0,calcareous sandstone siliciclastic sedimentary  ~ 1,inferred marine  marine,NA,[object Object],NA,#FCF768,#000000,235,Aeronian,438.5,1,22739,236,Rhuddanian,443.8,0,684,Tuscarora Sandstone,1,36.856,-83.208,-33.539,-102.626,-30.192,-108.526
22741,6355,811,1,1315.369,Brassfield Dolomite,7690,NA,Brassfield Dolomite,NA,NA,438.5,443.8,12,6,subsurface,0,0,dolomite carbonate sedimentary  ~ 0.7143| chert chemical sedimentary  ~ 0.1429| shale siliciclastic sedimentary  ~ 0.1429,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,22739,236,Rhuddanian,443.8,0,684,Brassfield Dolomite,1,36.856,-83.208,-33.539,-102.626,-30.192,-108.526
34830,8749,1508,1,78062.781,Allen Bay,3176,NA,Allen Bay,NA,NA,438.5,443.05,100,100,NA,0,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,34831,236,Rhuddanian,443.8,0.25,0,Allen Bay Formation,11,73.269,-92.28,2.435,-94.98,5.046,-98.855
34851,8753,1509,1,125987.594,Baillarge Fm,4847,NA,Baillarge,Brodeur,NA,438.5,441.55,180,180,NA,0,0,limestone carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,34852,236,Rhuddanian,443.8,0.75,0,Baillarge Formation,11,72.943,-84.36,1.374,-92.912,3.009,-95.74
34901,8784,1513,1,11715.859,Allen Bay Fm,3176,NA,Allen Bay,NA,NA,438.5,443.05,640,640,NA,0,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,236,Rhuddanian,443.8,0.25,0,Allen Bay Formation,11,76.759,-86.262,3.432,-90.237,5.848,-94.06
35176,8875,1527,1,23129.648,Allen Bay Fm,3176,NA,Allen Bay,NA,NA,438.5,443.8,290,290,NA,0,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,236,Rhuddanian,443.8,0,0,Allen Bay Formation,11,76.393,-92.19,3.87,-91.594,6.606,-95.587
35587,8958,1547,1,4399.57,Hazen Fm,9762,NA,Hazen,NA,NA,438.5,439.65,120,120,NA,0,0,chert chemical sedimentary  ~ 0.7143| limestone carbonate sedimentary  ~ 0.1429| shale siliciclastic sedimentary  ~ 0.1429,inferred marine  marine,NA,NA,NA,#4DF1B0,#000000,235,Aeronian,438.5,1,35588,235,Aeronian,440.8,0.5,35586,Hazen Formation,11,80.146,-81.89,6.013,-87.871,6.415,-89.076
35609,8963,1548,1,23512.873,Allen Bay Fm,3176,NA,Allen Bay,NA,NA,438.5,443.05,300,300,NA,0,0,limestone carbonate sedimentary  ~ 0.5| dolomite carbonate sedimentary  ~ 0.5,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,35610,236,Rhuddanian,443.8,0.25,0,Allen Bay Formation,11,79.895,-72.834,5.206,-86.497,7.457,-90.23
35807,9042,1566,1,8468.337,Kulutingwak Fiord Fm,9775,NA,Kulutingwak Fiord,NA,NA,438.5,443.8,0,0,NA,0,0,andesite volcanic igneous  ~ 0.8333| limestone carbonate sedimentary  ~ 0.1667,inferred marine  marine,NA,NA,NA,#438A47,#000000,235,Aeronian,438.5,1,35808,236,Rhuddanian,443.8,0,35806,Kulutingwak Fiord Formation,11,81.92,-80.328,7.515,-86.89,9.971,-90.649
35874,9069,1571,1,3575.85,Cranstone Fm,9790,NA,Cranstone,NA,NA,438.5,443.8,1050,1000,NA,0,0,sandstone siliciclastic sedimentary  ~ 0.625| conglomerate siliciclastic sedimentary  ~ 0.125| shale siliciclastic sedimentary  ~ 0.125| siltstone siliciclastic sedimentary  ~ 0.125,inferred marine  marine,NA,[object Object],NA,#FCF768,#000000,235,Aeronian,438.5,1,0,236,Rhuddanian,443.8,0,35873,Cranstone Formation,11,82.727,-73.429,7.935,-85.73,10.32,-89.457
35934,9099,1579,1,18671.02,Adams Bjerg Fm,9813,NA,Adams Bjerg,Peary Land,NA,438.5,440.8,200,130,NA,0,0,dolomite carbonate sedimentary  ~ 0.8333| boundstone carbonate sedimentary  ~ 0.1667,reef carbonate marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,0,235,Aeronian,440.8,0,35933,Adams Bjerg Formation,11,80.219,-66.192,3.601,-86.875,4.657,-89.088
35935,9099,1579,1,18671.02,Cape Schuchert Fm,9814,NA,Cape Schuchert,Peary Land,NA,438.5,440.8,80,50,NA,1,36,limestone carbonate sedimentary  ~ 0.8333| chert chemical sedimentary  ~ 0.1667,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,"35937,35938",235,Aeronian,440.8,0,35933,Cape Schuchert Formation,11,80.219,-66.192,3.601,-86.875,4.657,-89.088
35964,9101,1581,1,33035.066,Washington Land Gp,9837,NA,NA,Washington Land,NA,438.5,440.8,700,700,NA,3,3,limestone carbonate sedimentary  ~ 0.8333| dolomite carbonate sedimentary  ~ 0.1667,reef carbonate marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,35965,235,Aeronian,440.8,0,35963,Washington Land Group,11,81.733,-47.906,5.002,-83.963,5.981,-86.136
35980,9103,1582,1,35698.727,Ymers Gletscher Fm,9848,NA,Ymers Gletscher,NA,NA,438.5,440.8,45,25,NA,0,0,limestone carbonate sedimentary  ~ 1,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,35981,235,Aeronian,440.8,0,35979,Ymers Gletscher Formation,11,82.081,-32.75,5.867,-81.979,6.792,-84.126
36031,9116,1586,1,182123.688,Severn River Fm,5897,NA,Severn River,NA,NA,438.5,441.55,150,150,NA,0,0,limestone carbonate sedimentary  ~ 0.8333| dolomite carbonate sedimentary  ~ 0.1667,inferred marine  marine,NA,NA,NA,#4D52E7,#E0E0E0,235,Aeronian,438.5,1,36032,236,Rhuddanian,443.8,0.75,0,Severn River Formation,12,62.57,-83.031,-8.783,-95.082,-7.082,-98.198
